x,y,z
451.53359,1075.41259,0.00021
450.71551,1071.35747,0.00023
446.71549,1077.22687,0.00025
439.91112,1089.99623,0.00013
431.41033,1094.37449,0.00016
442.64185,1081.75056,0.00037
434.57829,1078.91107,0.00011
432.18309,1067.15031,0.00026
435.11564,1072.06062,0.00026
436.35298,1069.34594,0.00031
442.29675,1069.09643,0.00030
442.21627,1076.94151,0.00030
438.09420,1079.09530,0.00026
434.20146,1078.76809,0.00028
436.09709,1064.07006,0.00039
441.80546,1059.87880,0.00015
0,0,0
0,0,0
505.97534,944.43558,0.00005
519.47760,942.31487,0.00037
518.77144,946.40410,0.00041
518.82317,951.62308,0.00042
518.94957,953.62817,0.00043
519.31326,956.13312,0.00044
519.36447,955.60835,0.00045
520.17122,956.40915,0.00044
515.78316,954.10685,0.00044
515.05291,954.72522,0.00045
515.20998,956.09257,0.00047
514.91959,953.98770,0.00050
512.60496,953.64903,0.00048
513.52913,951.94630,0.00051
512.63758,951.71700,0.00050
511.60606,949.72492,0.00049
515.28894,950.58526,0.00052
514.58462,955.64743,0.00048
514.01442,957.35704,0.00054
512.99927,955.12427,0.00054
513.46292,953.93240,0.00054
516.28469,956.67727,0.00054
